
ULwjaY2xyw,Midterm2,2017-11-21,Second midterm of the course,60
dn2lQ8vS7k,Midterm2,2018-11-19,Second midterm of the course,60
rmS9jHoIts,Homework6,2019-04-18,Write a JDBC application that can execute a SQL query on a selected database.,100
nDjbU9kEpX,Midterm2,2019-11-21,Second midterm of the course,60
JqFUfLAumt,Final Exam,2020-05-09,Online final exam,120
IvQtGSPKP9,Assignment6,2021-12-05,Implement a Binary Search Tree for indexing/searching movies efficiently in IMDB,100
YjairWTC40,Final Project,2021-12-07,Develop a learning management system using PHP!,200
ULwjaY2xyw,Final Project,2017-12-06,Use a binary search tree to find Twitter Contents,150
dn2lQ8vS7k,Final Project,2018-12-05,Use a binary search tree to find Twitter Contents,150
rmS9jHoIts,Homework7,2019-04-25,Develop a PHP application to query the supplier database,100
nDjbU9kEpX,Final Project,2019-12-08,Use a binary search tree to find Twitter Contents,150
IvQtGSPKP9,Final Exam,2021-12-15,,100
YjairWTC40,Final Exam,2021-12-15,,200
ULwjaY2xyw,Bonus Quiz,2017-12-08,Solve some algorithm analysis questions,10
dn2lQ8vS7k,Bonus Quiz,2019-12-06,Solve some algorithm analysis questions,10
rmS9jHoIts,Homework8,2019-05-03,Perform 3NF normalization on a database,100
nDjbU9kEpX,Bonus Quiz,2019-12-08,Solve some algorithm analysis questions,10
ULwjaY2xyw,Final Exam,2017-12-13,Last exam!,100
dn2lQ8vS7k,Final Exam,2019-12-08,Last exam!,100
rmS9jHoIts,Final Exam,2019-05-06,Final exam for CS377,100
nDjbU9kEpX,Final Exam,2019-12-10,Last exam!,100
